,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
87,nanga eboko,CM,1588134886,69.04,4.68,12.37,82,2.64,37
88,moindou,NC,1588134887,82.4,-21.69,165.68,58,9.17,90
89,nouadhibou,MR,1588134887,66.2,20.93,-17.03,72,13.87,59
90,kaitangata,NZ,1588134888,64.0,-46.28,169.85,50,1.99,68
91,venado tuerto,AR,1588134603,54.0,-33.75,-61.97,75,5.01,0
92,rapar,IN,1588134888,91.74,23.57,70.63,44,14.07,0
93,salamiyah,SY,1588134889,61.7,35.01,37.05,54,3.09,0
94,butaritari,KI,1588134889,83.17,3.07,172.79,77,15.35,88
95,kismayo,SO,1588134889,81.64,-0.36,42.55,83,8.43,71
96,puerto carreno,CO,1588134890,79.84,6.19,-67.49,76,3.94,18
97,torbay,CA,1588134890,31.05,47.67,-52.73,92,24.16,90
98,lebu,CL,1588134890,50.95,-37.62,-73.65,80,6.15,0
99,nanortalik,GL,1588134891,34.86,60.14,-45.24,82,5.3,33
100,kapra,IN,1588134737,88.29,17.48,78.56,55,4.7,0
101,ulaangom,MN,1588134892,74.39,49.98,92.07,18,9.1,3
102,puerto ayora,EC,1588134665,78.01,-0.74,-90.35,89,3.0,1
103,innisfail,AU,1588134648,80.01,-17.53,146.03,65,7.0,52
104,srednekolymsk,RU,1588134894,26.76,67.45,153.68,96,11.16,100
105,nanning,CN,1588134895,82.4,22.82,108.32,48,6.71,41
106,luderitz,NA,1588134896,55.4,-26.65,15.16,87,1.12,0
107,codrington,AU,1588134896,56.7,-38.27,141.97,67,11.88,100
108,ahipara,NZ,1588134897,64.22,-35.17,173.17,72,5.26,76
109,victoria,HK,1588134603,78.3,22.29,114.16,57,10.29,20
110,pokrovsk,UA,1588134898,50.74,48.28,37.18,57,10.11,11
111,bahia honda,CU,1588134898,74.44,22.9,-83.16,87,10.09,30
112,dickinson,US,1588134899,77.07,29.46,-95.05,88,18.34,90
113,muros,ES,1588134899,57.52,42.78,-9.06,86,20.0,98
114,yellowknife,CA,1588134614,35.29,62.46,-114.35,80,6.93,20
115,port lincoln,AU,1588134899,57.51,-34.73,135.87,59,16.04,100
116,port elizabeth,ZA,1588134900,51.8,-33.92,25.57,93,4.7,20
117,emet,TR,1588134900,54.0,39.34,29.26,44,3.2,51
118,hobart,AU,1588134664,66.61,-42.88,147.33,60,13.87,40
119,nago,JP,1588134901,72.66,26.59,127.98,60,5.82,75
120,port blair,IN,1588134901,87.8,11.67,92.75,64,5.08,78
121,hamilton,US,1588134859,64.74,39.18,-84.53,55,1.01,70
122,salihorsk,BY,1588134903,51.4,52.79,27.54,75,7.34,93
123,poum,NC,1588134903,78.24,-20.23,164.02,73,11.05,0
124,ponta do sol,PT,1588134904,58.42,32.67,-17.1,72,4.7,20
125,jamestown,US,1588134904,48.09,42.1,-79.24,70,6.93,1
126,bukama,CD,1588134904,70.14,-9.2,25.85,74,1.83,97
127,novikovo,RU,1588134904,51.33,51.15,37.89,62,14.72,66
128,grand-santi,GF,1588134905,70.48,4.25,-54.38,95,2.04,95
129,hasaki,JP,1588134905,68.36,35.73,140.83,55,8.05,20
130,guerrero negro,MX,1588134905,62.85,27.98,-114.06,82,11.81,0
131,nador,MA,1588134906,56.82,35.17,-2.93,67,9.17,0
132,dikson,RU,1588134783,21.42,73.51,80.55,94,9.4,100
133,altagracia de orituco,VE,1588134907,71.11,9.86,-66.38,78,4.74,92
134,matara,LK,1588134907,88.83,5.95,80.54,63,9.08,63
135,sitka,US,1588134907,48.2,57.05,-135.33,61,14.99,90
136,corpus christi,US,1588134849,79.79,27.8,-97.4,83,19.46,90
137,upernavik,GL,1588134908,16.14,72.79,-56.15,95,3.85,97
138,aktas,KZ,1588134909,57.2,49.78,72.96,76,17.9,75
139,ishigaki,JP,1588134909,78.8,24.34,124.16,69,14.99,75
140,leisure city,US,1588134909,73.42,25.5,-80.43,64,9.17,40
141,ilulissat,GL,1588134910,19.4,69.22,-51.1,73,2.24,7
142,camargo,MX,1588134910,73.6,27.67,-105.17,13,1.95,0
143,walla walla,US,1588134900,59.32,46.06,-118.34,51,12.75,1
144,coihaique,CL,1588134911,46.4,-45.58,-72.07,93,4.18,75
145,finschhafen,PG,1588134912,85.78,-6.6,147.87,67,6.46,70
146,berezovyy,RU,1588134913,59.61,51.67,135.7,31,9.26,74
147,rio gallegos,AR,1588134914,23.0,-51.62,-69.22,92,3.36,20
148,kalaleh,IR,1588134915,59.0,37.38,55.49,87,9.17,90
149,carnarvon,AU,1588134915,82.4,-24.87,113.63,28,16.11,98
150,makokou,GA,1588134916,69.91,0.57,12.86,85,0.74,95
151,alofi,NU,1588134917,75.2,-19.06,-169.92,100,8.05,35
152,okha,RU,1588134917,41.95,53.57,142.95,65,4.05,0
153,betong,TH,1588134918,94.01,5.77,101.07,39,2.3,0
154,birao,CF,1588134919,77.83,10.28,22.79,46,1.54,100
155,mahanoro,MG,1588134919,72.5,-19.9,48.8,85,2.15,100
156,hohhot,CN,1588134742,75.2,40.81,111.65,12,6.71,20
157,airai,TL,1588134920,74.46,-8.93,125.41,42,2.82,32
158,bafq,IR,1588134920,73.47,31.61,55.41,18,3.74,15
159,caxambu,BR,1588134920,51.35,-21.98,-44.93,62,2.3,0
160,marrakesh,MA,1588134802,60.8,31.63,-8.01,72,8.05,75
161,mount isa,AU,1588134921,89.6,-20.73,139.5,22,6.93,0
162,ucluelet,CA,1588134626,50.0,48.93,-125.55,91,7.27,100
163,atar,MR,1588134922,81.01,20.52,-13.05,16,7.05,42
164,sola,VU,1588134923,86.0,-13.88,167.55,84,12.75,75
165,yulara,AU,1588134924,75.2,-25.24,130.99,33,14.99,0
166,kyshtovka,RU,1588134924,51.46,56.55,76.63,90,11.43,100
167,san quintin,MX,1588134925,63.95,30.48,-115.95,79,2.13,0
168,channel-port aux basques,CA,1588134925,32.77,47.57,-59.14,87,16.24,100
169,adrar,MR,1588134925,82.54,20.5,-10.07,17,9.51,29
170,grand gaube,MU,1588134926,73.99,-20.01,57.66,74,11.99,68
171,buala,SB,1588134926,86.5,-8.14,159.59,65,6.2,29
172,waipawa,NZ,1588134927,59.29,-41.41,175.52,77,19.46,0
173,severo-kurilsk,RU,1588134928,32.88,50.68,156.12,91,13.35,51
174,san juan,AR,1588134928,59.02,-31.54,-68.54,37,2.73,0
175,rocha,UY,1588134929,58.19,-34.48,-54.33,85,14.0,66
176,avarua,CK,1588134929,78.8,-21.21,-159.78,83,6.93,39
177,kapaa,US,1588134929,75.85,22.08,-159.32,78,21.92,75
178,margate,GB,1588134930,48.33,51.38,1.39,97,2.73,98
179,bethel,US,1588134930,42.66,41.37,-73.41,75,3.36,75
180,chuy,UY,1588134930,62.78,-33.7,-53.46,87,11.43,100
181,fort saint james,CA,1588134931,43.72,54.43,-124.25,54,6.55,64
182,concepcion,CL,1588134931,50.0,-36.83,-73.05,93,5.82,0
183,thompson,CA,1588134932,30.2,55.74,-97.86,54,2.24,75
184,tramagal,PT,1588134932,47.26,39.45,-8.25,92,1.01,49
185,kruisfontein,ZA,1588134933,51.66,-34.0,24.73,87,4.61,0
186,cururupu,BR,1588134933,75.07,-1.83,-44.87,94,4.85,31
187,san cristobal,VE,1588134934,67.59,7.77,-72.22,65,0.92,64
188,asau,RO,1588134934,55.0,46.43,26.4,57,4.81,28
189,seybaplaya,MX,1588134934,82.96,19.65,-90.67,61,10.98,23
190,tual,ID,1588134935,83.86,-5.67,132.75,72,13.91,100
191,grindavik,IS,1588134935,37.4,63.84,-22.43,86,10.29,20
192,bathsheba,BB,1588134935,77.0,13.22,-59.52,83,10.29,75
193,vila velha,BR,1588134800,66.09,-20.33,-40.29,93,3.36,75
194,maragogi,BR,1588134687,77.11,-9.01,-35.22,87,7.67,72
195,meulaboh,ID,1588134937,87.33,4.14,96.13,62,3.33,40
196,kavaratti,IN,1588134937,87.8,10.57,72.64,70,5.82,40
197,fria,GN,1588134938,73.99,10.42,-13.58,76,1.23,45
198,leningradskiy,RU,1588134938,29.62,69.38,178.42,96,7.81,97
199,novita,CO,1588134939,75.61,4.96,-76.61,91,0.81,100
200,novoagansk,RU,1588134939,44.94,61.94,76.66,79,14.12,100
201,oda,JP,1588134939,66.2,35.18,132.5,55,18.34,0
202,pizhanka,RU,1588134940,39.94,57.46,48.54,70,11.23,31
203,lohja,FI,1588134940,34.65,60.25,24.07,85,7.0,12
204,teguldet,RU,1588134940,60.93,57.31,88.17,72,8.59,100
205,cabo san lucas,MX,1588134941,75.79,22.89,-109.91,74,13.24,0
206,beaufort,MY,1588134941,87.4,5.35,115.75,70,2.24,75
207,port alfred,ZA,1588134942,57.0,-33.59,26.89,87,1.01,48
208,henties bay,NA,1588134943,63.55,-22.12,14.28,71,2.98,0
209,hithadhoo,MV,1588134943,84.45,-0.6,73.08,74,9.46,94
210,taft,IR,1588134943,68.0,31.75,54.21,28,4.7,22
211,tasiilaq,GL,1588134944,32.0,65.61,-37.64,96,9.17,56
212,bonfim,BR,1588134944,82.99,3.08,-59.95,57,8.28,91
213,verkhnevilyuysk,RU,1588134944,35.8,63.45,120.32,74,10.45,86
214,omboue,GA,1588134945,77.04,-1.57,9.26,93,6.31,70
215,bako,ET,1588134945,68.9,5.78,36.57,53,1.36,97
216,aguimes,ES,1588134946,61.09,27.91,-15.45,68,12.75,20
217,boa vista,BR,1588134855,84.2,2.82,-60.67,58,5.82,75
218,puro,PH,1588134947,88.97,12.48,123.38,59,10.67,100
219,rudbar,AF,1588134947,90.09,30.15,62.6,14,13.58,21
220,voh,NC,1588134948,80.15,-20.97,164.7,63,8.52,28
221,portland,US,1588134655,61.93,45.52,-122.68,59,9.17,75
